Team,Payroll,yearID,franchID
Cubs,211546714,2019,CHC
Yankees,205442088,2019,NYY
Nationals,204449127,2019,WSN
Red Sox,204335019,2019,BOS
Giants,199729652,2019,SFG
Angels,177328583,2019,ANA
Dodgers,170903333,2019,LAD
Astros,165653000,2019,HOU
Cardinals,165253599,2019,STL
Mariners,152807076,2019,SEA
Rockies,150805164,2019,COL
Mets,148902230,2019,NYM
Phillies,144616127,2019,PHI
Reds,133580714,2019,CIN
Brewers,127850342,2019,MIL
Indians,122875033,2019,CLE
Braves,117855753,2019,ATL
Twins,114901933,2019,MIN
Diamondbacks,108040650,2019,ARI
Rangers,106969999,2019,TEX
Tigers,104581900,2019,DET
Royals,102570791,2019,KCR
Athletics,102545000,2019,OAK
White Sox,90652000,2019,CHW
Orioles,80012045,2019,BAL
Pirates,75991333,2019,PIT
Padres,75795366,2019,SDP
Blue Jays,71228671,2019,TOR
Marlins,70610020,2019,FLA
Rays,53500799,2019,TBD
Giants,184499166,2018,SFG
Red Sox,206247686,2018,BOS
Mets,166261459,2018,NYM
Cubs,175310002,2018,CHC
Nationals,141622200,2018,WSN
Dodgers,157496785,2018,LAD
Astros,172038900,2018,HOU
Angels,171248332,2018,ANA
Mariners,141303943,2018,SEA
Yankees,161305917,2018,NYY
Orioles,141814118,2018,BAL
Rockies,103328498,2018,COL
Blue Jays,144122200,2018,TOR
Cardinals,101583666,2018,STL
Indians,111952167,2018,CLE
Twins,129560000,2018,MIN
Rangers,110154583,2018,TEX
Diamondbacks,116038416,2018,ARI
Royals,115483116,2018,KCR
Tigers,111286000,2018,DET
Reds,96676785,2018,CIN
Phillies,74688166,2018,PHI
Brewers,83827856,2018,MIL
White Sox,73050333,2018,CHW
Marlins,85843000,2018,FLA
Pirates,81335833,2018,PIT
Braves,83306041,2018,ATL
Padres,73716532,2018,SDP
Rays,63147666,2018,TBD
Athletics,62652500,2018,OAK
Dodgers,169394811,2017,LAD
Tigers,180250600,2017,DET
Mets,169891596,2017,NYM
Red Sox,173704598,2017,BOS
Rangers,155764730,2017,TEX
Yankees,171746342,2017,NYY
Cubs,168263502,2017,CHC
Nationals,124804062,2017,WSN
Giants,134020166,2017,SFG
Orioles,137742237,2017,BAL
Mariners,118207720,2017,SEA
Braves,137339527,2017,ATL
Royals,134425249,2017,KCR
Cardinals,113586266,2017,STL
Astros,127443900,2017,HOU
Angels,123549166,2017,ANA
Blue Jays,121767667,2017,TOR
Indians,94916167,2017,CLE
White Sox,97134500,2017,CHW
Marlins,103106100,2017,FLA
