Season,TeamIdA,TeamIdB,SeedA,SeedB,ScoreA,ScoreB,Round,Seed_diff,Score_diff,WinA,A.team,A.conference,A.record,B.team,B.conference,B.record,Rank_diff,W_diff,L_diff,W_perc_diff,adj_em_diff,adj_o_diff,adj_o_rank_diff,adj_d_diff,adj_d_rank_diff,adj_tempo_diff,adj_tempo_rank_diff,luck_diff,luck_rank_diff,sos_adj_em_diff,sos_adj_em_rank_diff,sos_adj_o_diff,sos_adj_o_rank_diff,sos_adj_d_diff,sos_adj_d_rank_diff,nc_sos_adj_em_diff,nc_sos_adj_em_rank_diff
2005,1112,1429,X03,X14,66,53,1,-11,13,1,Arizona,P10,30-7,Utah St.,BW,24-8,-8,6,-1,0.060810810810810856,2.599999999999998,0.7000000000000028,-2,-1.9000000000000057,-22,7.499999999999993,-236,0.121,-216,10.6,-171,6.5,-191,-4.099999999999994,-156,7.8100000000000005,-193
2005,1130,1335,X04,X13,85,65,1,-9,20,1,Boston College,BE,25-5,Penn,Ivy,20-9,-52,5,-4,0.14367816091954022,8.700000000000001,12.200000000000003,-158,3.5,29,-3.4000000000000057,143,0.044,-67,8.32,-136,4,-118,-4.299999999999997,-160,-7.52,181
2005,1153,1234,Y07,Y10,76,64,1,-3,12,1,Cincinnati,CUSA,25-8,Iowa,B10,21-12,-8,4,-4,0.12121212121212122,3.259999999999998,0.5999999999999943,-7,-2.700000000000003,-21,-0.09999999999999432,2,0.028000000000000004,-74,-4.029999999999999,55,-1.3000000000000114,40,2.6999999999999886,70,-2.78,67
2005,1211,1457,W03,W14,74,64,1,-11,10,1,Gonzaga,WCC,26-5,Winthrop,BSth,27-6,-82,-1,-1,0.02052785923753664,12.91,17.799999999999997,-188,4.900000000000006,82,3.999999999999993,-162,-0.053000000000000005,95,11.15,-186,4.400000000000006,-127,-6.799999999999997,-246,-0.07999999999999963,4
2005,1228,1192,X01,X16,67,55,1,-15,12,1,Illinois,B10,37-2,Fairleigh Dickinson,NEC,20-13,-188,17,-11,0.3426573426573426,35.2,19.599999999999994,-163,-15.600000000000009,-216,-4.5,175,-0.004,8,16.04,-265,7.8999999999999915,-235,-8.200000000000003,-292,-0.44,18
2005,1246,1184,Y02,Y15,72,64,1,-13,8,1,Kentucky,SEC,28-6,East Carolina,CUSA,9-19,-188,19,-13,0.5021008403361344,27.090000000000003,15.599999999999994,-221,-11.399999999999991,-109,0.29999999999999716,-14,0.054,-126,2.6799999999999997,-41,1.9000000000000057,-57,-0.7000000000000028,-20,-6.89,170
2005,1305,1400,X09,X08,61,57,1,1,4,1,Nevada,WAC,25-7,Texas,B12,20-11,27,5,-4,0.13608870967741937,-4.900000000000002,-10.099999999999994,120,-5.299999999999997,-48,-0.7999999999999972,43,0.096,-211,-5.52,91,-2.5,86,3,117,2.81,-73
2005,1328,1310,Y03,Y14,84,67,1,-11,17,1,Oklahoma,B12,25-8,Niagara,MAAC,20-10,-94,5,-2,0.09090909090909094,17.12,-0.7999999999999972,5,-18,-277,-4.699999999999989,163,0.020999999999999998,-63,11.2,-196,6.200000000000003,-187,-5,-191,-0.74,24
2005,1334,1338,W08,W09,79,71,1,-1,8,1,Pacific,BW,27-4,Pittsburgh,BE,20-9,16,7,-5,0.18131256952169073,-4.33,-0.29999999999999716,2,4.200000000000003,64,-0.3999999999999986,9,0.148,-274,-4.97,77,-3.200000000000003,99,1.7000000000000028,58,11.83,-210
2005,1403,1417,W06,W11,78,66,1,-5,12,1,Texas Tech,B12,22-11,UCLA,P10,18-11,-36,4,0,0.04597701149425282,4.73,2.5,-30,-2.299999999999997,-22,-0.20000000000000284,6,0.0010000000000000009,-6,2.1999999999999993,-28,2.0999999999999943,-44,-0.09999999999999432,-3,-3.51,83
